Dado,Andar,Unidades por Andar,Área Privativa (m²),WC,Fator de depreciação Edifício,Fator de depreciação da unidade,Nº de Pavimentos,Nº de Elevadores,Posição do Imóvel no Terreno,Valor Total (R$)
"1,00","7,00","8,00","92,00","3,00","0,56","0,56","12,00","2,00","3,00","125.000,00"
"2,00","5,00","10,00","81,00","1,00","0,29","0,45","7,00","2,00","3,00","95.000,00"
"3,00","5,00","12,00","59,89","0,00","0,33","0,55","6,00","2,00","2,00","150.000,00"
"4,00","11,00","6,00","49,00","1,00","0,49","0,45","14,00","2,00","3,00","75.000,00"
"5,00","11,00","6,00","49,00","1,00","0,49","0,45","14,00","2,00","2,00","85.000,00"
"6,00","9,00","4,00","37,00","1,00","0,49","0,49","15,00","2,00","3,00","50.000,00"
"7,00","13,00","8,00","55,00","2,00","0,45","0,45","13,00","4,00","3,00","60.000,00"
"8,00","2,00","10,00","532,69","4,00","0,45","0,51","13,00","3,00","1,00","950.000,00"
"9,00","4,00","8,00","230,00","4,00","0,45","0,51","18,00","3,00","1,00","350.000,00"
"10,00","10,00","8,00","36,00","1,00","0,45","0,35","18,00","3,00","3,00","60.000,00"
"11,00","13,00","8,00","22,00","1,00","0,45","0,51","18,00","3,00","3,00","50.000,00"
"12,00","6,00","8,00","30,00","1,00","0,45","0,45","18,00","3,00","1,00","55.000,00"
"13,00","12,00","17,00","98,00","1,00","0,56","0,64","15,00","3,00","1,00","270.000,00"
"14,00","9,00","5,00","45,00","1,00","0,56","0,64","11,00","2,00","3,00","60.000,00"
"15,00","2,00","5,00","182,00","3,00","0,45","0,51","13,00","3,00","1,00","285.000,00"
"16,00","1,00","1,00","677,00","6,00","0,56","0,64","8,00","2,00","1,00","1.175.000,00"
"17,00","9,00","7,00","190,00","1,00","0,40","0,40","11,00","2,00","1,00","285.000,00"
"18,00","7,00","2,00","300,00","4,00","0,85","0,85","9,00","2,00","1,00","750.000,00"
"19,00","1,00","8,00","400,00","2,00","0,61","0,61","6,00","2,00","2,00","550.000,00"
"20,00","11,00","8,00","75,00","1,00","0,45","0,49","13,00","2,00","3,00","70.000,00"
"21,00","7,00","9,00","74,00","1,00","0,45","0,45","7,00","2,00","3,00","60.000,00"
"22,00","2,00","9,00","320,00","3,00","0,45","0,35","7,00","2,00","2,00","650.000,00"
"23,00","2,00","9,00","100,00","2,00","0,45","0,51","7,00","2,00","2,00","200.000,00"
"24,00","3,00","12,00","89,00","2,00","0,45","0,45","8,00","2,00","1,00","120.000,00"
"25,00","5,00","9,00","46,52","1,00","0,45","0,51","11,00","2,00","1,00","60.000,00"
Avaliando,"8,00","1,00","220,00","2,00","0,28","0,20","16,00","2,00","1,00","0,00"
